notification_id,salary_related,transaction_type_mapped,percentage_change_in_holding,volume,n_people
6107,0,Acquisition/Purchase of Shares,0.5,181219.0,1
6108,0,Acquisition/Purchase of Shares,0.5263157894736842,92960.0,1
6109,0,Acquisition/Purchase of Shares,1.0,152700.0,1
6110,0,Acquisition/Purchase of Shares,1.0,246404.4,1
6111,0,Acquisition/Purchase of Shares,1.0,316800.0,1
6112,1,Acquisition/Purchase of Shares,1.0,24459.023,6
6113,1,Acquisition/Purchase of Shares,0.7263441289044567,40236.60666666667,6
6114,0,Acquisition/Purchase of Shares,0.06944444444444445,2233050.0,1
6115,0,Acquisition/Purchase of Shares,0.07462686567164178,2171800.0,1
6116,0,Acquisition/Purchase of Shares,0.11666666666666667,3480750.0,1
6117,0,Acquisition/Purchase of Shares,0.2,5025500.0,1
6118,0,Acquisition/Purchase of Shares,0.25,5290400.0,1
6119,0,Acquisition/Purchase of Shares,0.21212121212121213,4121810.0,1
6120,0,Acquisition/Purchase of Shares,0.0811253532085671,1439468.8875000002,1
6121,0,Acquisition/Purchase of Shares,0.1958959792350262,3151200.0,1
6122,0,Acquisition/Purchase of Shares,1.0,6672794.1625,1
6123,0,Acquisition/Purchase of Shares,1.0,9335550.0,1
6124,1,Acquisition/Purchase of Shares,1.0,44412.72000000001,7
6125,1,Group Not Found,1.0,22713.865,12
6126,1,Acquisition/Purchase of Shares,0.43408819536616877,30652.396249999998,16
6127,0,Acquisition/Purchase of Shares,0.0,242535.99999999997,1
6128,0,Acquisition/Purchase of Shares,0.0,108055330.0,4
6129,1,Group Not Found,0.0,2130824.81,6
6130,0,Acquisition/Purchase of Shares,1.0,31543989.75,1
6131,0,Acquisition/Purchase of Shares,1.0,13650000.0,1
6132,0,Acquisition/Purchase of Shares,1.0,6566904.0,1
6133,0,Acquisition/Purchase of Shares,0.0,0.0,2
6134,0,Acquisition/Purchase of Shares,0.0,213812.52000000002,2
6135,0,Acquisition/Purchase of Shares,1.0,648351.9199999999,2
6136,0,Acquisition/Purchase of Shares,0.0,1438400.0,1
6137,0,Acquisition/Purchase of Shares,0.0,249871.80000000002,1
6138,1,Exercise/Settlement leading to Shares,1.0,201451.04,2
6139,1,Exercise/Settlement leading to Shares,1.0,201451.04,2
6140,0,Acquisition/Purchase of Shares,0.0,194633.76,2
6141,0,Acquisition/Purchase of Shares,1.0,281000.0,1
6142,1,Disposal/Sale of Shares,8.125498749393076e-05,11087043.5,4
6143,0,Disposal/Sale of Shares,0.0,2297373.75,2
6144,1,Exercise/Settlement leading to Shares,1.0,902250.0,4
6145,0,Acquisition/Purchase of Shares,1.0,199999999.5,1
6146,0,Group Not Found,-0.3333333333333333,2032534659.8333333,3
6147,0,Acquisition/Purchase of Shares,1.0,199999999.5,1
6148,0,Acquisition/Purchase of Shares,0.19676780046082207,752259.2000000001,1
6149,0,Acquisition/Purchase of Shares,0.0,67035380.5,1
6150,0,Disposal/Sale of Shares,0.0,67706279.90666667,3
6151,0,Acquisition/Purchase of Shares,0.6315777720146033,57416.0,4
6152,0,Acquisition/Purchase of Shares,0.6404920888888889,5909492.800000002,3
